song,bassmusic,breakbeat,disco,downtempo,dnb,erock,jungle,hardcore,hardstyle,hauntology,hip hop fusion,trap,house,industrial,techno,trance,uk garage
S.H.A.M.E - Gost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shambles - Hold U Close,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Scratch feat TAOG - Ballin ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOIXES Gidexen & M.I.M.E - Louis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweepz - Battle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.I.M.E mylky & Taw - Renegades (W.A.V & Nin9 Remix),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Dreisig - In My Head ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkum - Hurts ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDMS - Bad Trouble ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onur Ormen - Sahara ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryJaxx - Ponder ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.P.O - Gunshots ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trias M.I.M.E & Calli Boom - Flexin ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kate Ryan - Ella Elle L'a (BreakBeat Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombo - Gods,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detach - I'm Not (The Colombo Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funk U - Feel da Beat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Too Dusty - Funk & Destroy (Stonewash Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deekline & Ed Solo - Countdown (Lunathics remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombo - Clap ya Hands!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fletric - Plasma Funk (BreakZhead Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesis - I Can't Dance (Illegal Content Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defkline & Red Polo - Too Close (Breaks Mix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's Tricky - Run-DMC (Breakbeat mix?),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freestylers - Boomblast (Deekline & Wizard Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freestylers - Warrior Charge (Breakfastaz Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prodigy - Outta Space (Dj Deekline Bootleg Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cut & Run - King of the Bongo (Breaks Mix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVD KID - NEXT LEVEL (ORIGINAL MIX) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELITE FORCE VS THE GOSSIP - CONTROL THE ENGINE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ DEFKLINE & RED POLO - FELIX HUSTLE  (BREAKS MIX) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUT & RUN - REGGAETON ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREAKING NEWS - RUSH HOUR  (BREAKZHEAD TEAR-OUT REMIX) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTRL-Z SPACE - DEMENTIA ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro - HOLD YOUR WIG ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE BASS DROPPERS - NO DISCO  (ONDAMIKE REMIX) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEADVOICE - TAKE IT ALL AWAY  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSPIRED - REPEAT (SHADE K & LADY SHADE REMIX)  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAKJAK VS USBS - JOYSTICK (OMEGA REMIX) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ30A & HUDA HUDIA - CLUB WALK  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAVANE - TEMPLE BREAKS  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAKET - EXPERIMENTS  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VENJENT - BAM  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TVU - LURKING ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2M & DJ SELF - FUNKY & HOT (DALLAS TX 2002 REMIX)  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHADE K - PHANTOM  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gosize - Dark Age (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Jimmy - To Be With You (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiniti (Scott Christina) - You Used To Hold Me (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disperto Certain - IOTA  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Teeth - Two Sisters (Original Mix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.R.N.E.S.T.O - Caracas (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SevenG - I Cant Free (Original Mix)  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algorithmic Funk - Shiva (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firestar Soundsystem - Falling Down (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Break - Closing Sound (Original Mix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Darrow Chem Syndicate - Imminent The Bomb (Kid Panel Remix)  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Rissa & Infiniti (Scott Christina) - I Do Both Jay And Jane (Original Mix) ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deekline & Ed Solo - Bwoy(Jugle Original Mix)  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJMillon - No More Chances (Original Mix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You Should Be Dancing (AIMES Edit) - Bee Gees ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Last Train To London (Mikeandtess Edit 4 Mix) - Electric Light Orchestra ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On The Beat (Laurent Wild & The Discoh Family Edit) - B.B. & Q. Band,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Freak (Pete Le Freq Freakin Rework) (CMS Master) - Chic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Stop 'till You Get Enough (DJ Meme Definitive Remix) - Michael Jackson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Billy Of Queens (Original Mix) - Ladies On Mars [Caribbean Queen - Billy Ocean] ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And The Beat Goes On (Purple Disco Machine Edit) - The Whispers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do You Think I'm Sexy? (Barry&Gibbs Edit) - Rod Stewart ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another One Bites The Dust (Disco Innovations Re-Edit) - Queen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling Good (Original Mix) - Brokenears ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boogie Wonderland (LNTG Muscle Mix) - Late Nite Tuff Guy [Boogie Wonderland - Earth, Wind & Fire] ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Sex And Sun (David Kust Beach Remix) - Serge Gainsbourg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disco Inferno (Barry&Gibbs Club Edit) - The Trammps,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimme Gimme (Feat. Start The Party) (12" Disco Mix) - Lee Cabrera,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netsky & Stargate - Nobody (Lexurus Bootleg),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
High Maintenance - Breathe In feat. Ayah Marar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raise Spirit - The Temple,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T & Sugah x NCT - Say To Me,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Wall - Blinded,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bop & Subwave - City Lights,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dossa & Locuzzed - Slap!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polar Youth feat. Georgie Allen - All Night (Metrik Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feint - Defiant (feat. Laura Brehm),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Itro - Promises,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Urbandawn - Sleeping Awake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Djah - Dialogue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crissy Criss - Need You Now,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maduk & Dennis Pedersen - Miles Apart (Instrumental),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Wall - Rain God,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Logistics - Signs feat. Changing Faces,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macca & Loz Contreras - Woman Like This,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andromedik - Forever,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andromedik - Colours,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Showdown - Freedom (feat. IMAN),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Logistics - Piston Blues,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Commix - Only,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bert H & Edlan - Intercept,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
InsideInfo & Hybrid Minds - Split In 2 (feat. Laville),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Voicians - Remember,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sub Focus & Dimension - Desire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Champion - Breathe (feat. Veela),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nexus & Tight - All I Need,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clark Cables - Don't Just Stare (Flite Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flite & Boxplot - Sunroad (feat. Audioscribe),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Break - Last Goodbye (feat. Celestine),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lexurus - Out Of Love (feat. Leah Rye),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyantific - Fade Into The Night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hillsdom - Colours (feat. Novokan3),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Logistics - Been Dreaming (feat. In:Most & Lyra),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pola & Bryson - Alkaline,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bert H & HumaNature - Blackhouse,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Logistics - Let The Senses Clear Your Mind,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Danny Byrd & Maduk - Better Life (feat. I-Kay),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T & Sugah - Back In Time (feat. Luna Morgenstern),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LQ - Show Me,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brookes Brothers - So Many Times (Blaine Stranger Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
High Contrast - If We Ever (Unglued Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ownglow - LA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Air.K & Cephei - Way Back,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Wall - Devil's Night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rameses B - Twilight Zone (feat. Laura Brehm),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rameses B - Story,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Keeno - Foxes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jareth - Kaleidoscope (Hybrid Minds Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aperio x Kasger - Night Flight,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Break - Mind's Eye,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Low:R - Reorient,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Au/Ra - Panic Room (Culture Shock Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deflo & Lliam Taylor - Reflections,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T & Sugah - Time (feat. Bensley & C.),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
High Maintenance - Know The Way,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Krakota - Callback,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Stranger - Body & Mind,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ownglow - Wonder,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Krakota - See For Miles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyantific - Bloodline (feat. Raphaella),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fox Stevenson - Bruises,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brookes Brothers - New Wave,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Friction & JP Cooper - Dancing (Dawn Wall Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Volatile Cycle & Philth - Nowhere,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Break - Take Me Away,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andromedik - Don't Say,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sekai - Rain (feat. Aleana Redd),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polygon - Is It You,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pola & Bryson - Floodgates,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brookes Brothers - Now I'm Found (Hillsdom Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Matrix & Futurebound feat. Alex Hepburn - Live Another Day (M&F's Smoke & Mirrors Mix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feint - Mirror Signal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCT - In The Sun Again feat. Laura Brehm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HumaNature - First Light,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pola & Bryson - Night Dawns (feat. Lauren Archer),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Djah - Galactic Agreement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Whiney - Darkest Night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flume feat. Vera Blue - Rushing Back (Ekko & Sidetrack Bootleg),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Metrik - Gravity,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maduk - Colours,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Opposition - Ultralight,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crissy Criss Breath (feat. Dan Moss),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Technimatic - Breathe In,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyantific x T & Sugah - All I Want,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Friction x Kanine - Your Love,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sub Focus - Solar System,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oliverse - Unspoken (Muzzy & Oliverse Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Camo & Krooked - Kallisto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Axwell - Nobody Else (1991 Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grafix - Radiance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Monrroe - Never Too Old (feat. Emily Makis),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nelver - Private Time,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Wall - Take Control,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crissy Criss & WiDE AWAKE � Real (Drum & Bass Mix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Air K & Cephei - Reflections,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dexcel - Landscape,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bert H - Aadwark,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Smote - Summertime (Nelver Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyantific - Take Me In,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andromedik - Won't Let Go (feat. Voicians),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Stranger - Losing Myself,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fred V - Voyage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid Minds - Higher Love (feat. Charlotte Haining),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
T & Sugah - Is This Love,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dossa & Locuzzed - Stella (feat. Pat Fulgoni),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
In:Most - Notions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boxplot & Ownglow - Polaroids of You,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polygon - Unspoken,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Feint - Solace,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Makoto & Hugh Hardie - Bluebird,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flite - Kairos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyantific - Vapour Trails,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Vanguard Project - Wicked Man,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Wall - Legends,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Matrix & Futurebound - Hindsight (Millbrook Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vorso - Strange Attractor,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Changing Faces - Monochrome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Technimatic - Goodbye Kiss,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macca & Loz Contreras - You Were Mine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grafix - Refuge (feat. Ruth Royall),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Redemptive - Ghost Mine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Camo & Krooked - Loa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turno - Amazon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Technimatic - Let It Fall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flowidus - Said & Done (feat. Reiki Ruawai),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rameses b - Ivy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tantrum Desire - Oblivion (Drumsound & Bassline Smith Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lexurus - Crystalize,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vorso - Constellation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Cats - Before My Eyes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GLXY - Research & Development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Edlan - Meadows,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maduk - Company (feat. Juul),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Makoto & Urbandawn - Liberta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kove - Le Retour,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Wall - I Should Have Been There,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ownglow - Back To You,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Minos - Illusion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oakwite - Moonpool,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Changing Faces - Hypnotic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Air K & Cephei x Edlan - Smiles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kallan HK - Meant To Be,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Logistics - Rhythm Track,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Artificial Intelligence - Even Though,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Silence Groove - Moon That Never Sets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MH-K - Dreamscape (Command Strange Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Edlan & Djah - Replay,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aperio Ft. Koherent - Aurora,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Redemptive - Beyond VIP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bladerunner - All My Love,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gerra & Stone - Sprung,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Outsiders - Burning (feat. Ida),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Prototypes - Into The Night,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grafix - Rain Fall Down,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Walk:r - Stay,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flite - Decisions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crissy Criss - Kiss The Sky,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Macca & Loz Contreras - Feel My Soul,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phaction - Someone (Monrroe Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polaris - Kessel Run,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rameses B - Open Your Eyes (L Plus Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Culture Shock - Renaissance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Prototypes - Oxygen (feat. Kudu Blue),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Document one - Temporal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rameses B - Falling (Rameses B Remix),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Missing - Chasing The Dragon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yper On Experience - Lord Of The Null Lines (Foul Play Remix),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ndercover Agent - Oh Gosh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ude Bowy Monty - Out In Da Streets,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
illinja - Waveform,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
J Solo - Darkage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oise Factory - Can You Feel The Rush (Power Mix),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
